section	symbol	english	sqi	english_lines	sqi_lines
Verbs	mkV2A	True	True	381:mkV2A : overload { | 382:mkV2A : V -> V2A ; -- e.g. paint (NP) (AP) | 383:mkV2A : V -> Prep -> V2A ; -- backwards compatibility | 384:mkV2A : V -> Prep -> Prep -> V2A ; -- e.g. strike (NP) as (AP) | 695:mkV2A = overload { | 696:mkV2A : V -> V2A = \v -> lin V2A (dirdirV3 v) ;	1464:mkV2A = overload { | 1465:mkV2A : V -> V2A = \v -> mkV2ACore v noPrep noPrep ; | 1466:mkV2A : V -> Prep -> Prep -> V2A = mkV2ACore ; | 1467:mkV2A : Str -> V2A = \v -> mkV2ACore (mkV v) noPrep noPrep ; | 1468:mkV2A : Str -> Prep -> Prep -> V2A = \v,p2,p3 -> mkV2ACore (mkV v) p2 p3 ;
Verbs	mkVQ	True	True	386:mkVQ  : V -> VQ ; -- e.g. wonder (QS) | 678:mkVQ  v = lin VQ v ;	1425:mkVQ = overload { | 1426:mkVQ : V -> VQ = mkVQCore ; | 1427:mkVQ : Str -> VQ = \v -> mkVQCore (mkV v)
Verbs	mkV2Q	True	True	387:mkV2Q : overload { | 388:mkV2Q : V -> Prep -> V2Q ; -- e.g. ask (NP) (QS) | 389:mkV2Q : V -> V2Q -- e.g. ask (NP) (QS) | 700:mkV2Q = overload { | 701:mkV2Q : V -> Prep -> V2Q = \v,p -> lin V2Q (prepV2 v p) ; | 702:mkV2Q : V -> V2Q = \v -> lin V2Q (dirV2 v) ;	1457:mkV2Q = overload { | 1458:mkV2Q : V -> V2Q = \v -> mkV2QCore v noPrep noPrep ; | 1459:mkV2Q : V -> Prep -> Prep -> V2Q = mkV2QCore ; | 1460:mkV2Q : Str -> V2Q = \v -> mkV2QCore (mkV v) noPrep noPrep ; | 1461:mkV2Q : Str -> Prep -> Prep -> V2Q = \v,p2,p3 -> mkV2QCore (mkV v) p2 p3 ;
Adjective complements	mkAS	True	False	392:mkAS  : A -> AS ; --% | 707:mkAS  v = v ;	
Adjective complements	mkA2S	True	False	393:mkA2S : A -> Prep -> A2S ; --% | 708:mkA2S v p = lin A (prepA2 v p) ;	
Adjective complements	mkAV	True	False	394:mkAV  : A -> AV ; --% | 709:mkAV  v = v ;	
Adjective complements	mkA2V	True	False	395:mkA2V : A -> Prep -> A2V ; --% | 710:mkA2V v p = prepA2 v p ;	
Other lexical	mkSubj	True	True	405:mkSubj : Str -> Subj = \s -> lin Subj {s = s} ; --%	1511:mkSubj : Str -> Subj = \s -> lin Subj {s=s} ;
Other lexical	mkInterj	True	True	406:mkInterj : Str -> Interj	1507:mkInterj : Str -> Interj = \s -> lin Interj {s=s} ;
Other lexical	mkVoc	True	True	408:mkVoc : Str -> Voc ; -- Any other vocative expression not coming from a NP or a preconstructed Voc | 409:mkVoc s = lin Voc (ss s) ;	1509:mkVoc : Str -> Voc = \s -> lin Voc {s=s} ;
Other lexical	mkMU	True	True	826:mkMU : Str -> MU = \s -> lin MU {s=s; isPre=False} ;	1510:mkMU : Str -> MU = \s -> lin MU {s=s; isPre=False} ;
